"filename", "language", "SCSS", "Markdown", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"d:\ahki\public\Emoji\pack2\wedding-couple-11.svg", "XML", 0, 0, 0, 0, 254, 1, 16, 271
"d:\ahki\public\Emoji\pack2\wedding-couple-12.svg", "XML", 0, 0, 0, 0, 111, 1, 10, 122
"d:\ahki\public\Emoji\pack2\wedding-couple-13.svg", "XML", 0, 0, 0, 0, 245, 1, 14, 260
"d:\ahki\public\Emoji\pack2\wedding-couple-14.svg", "XML", 0, 0, 0, 0, 108, 1, 13, 122
"d:\ahki\public\Emoji\pack2\wedding-couple-15.svg", "XML", 0, 0, 0, 0, 284, 1, 5, 290
"d:\ahki\public\Emoji\pack2\wedding-couple-16.svg", "XML", 0, 0, 0, 0, 111, 1, 12, 124
"d:\ahki\public\Emoji\pack2\wedding-couple-17.svg", "XML", 0, 0, 0, 0, 338, 1, 16, 355
"d:\ahki\public\Emoji\pack2\wedding-couple-18.svg", "XML", 0, 0, 0, 0, 269, 1, 14, 284
"d:\ahki\public\Emoji\pack2\wedding-couple-19.svg", "XML", 0, 0, 0, 0, 196, 1, 11, 208
"d:\ahki\public\Emoji\pack2\wedding-couple-2.svg", "XML", 0, 0, 0, 0, 140, 1, 17, 158
"d:\ahki\public\Emoji\pack2\wedding-couple-20.svg", "XML", 0, 0, 0, 0, 275, 1, 15, 291
"d:\ahki\public\Emoji\pack2\wedding-couple-21.svg", "XML", 0, 0, 0, 0, 271, 1, 7, 279
"d:\ahki\public\Emoji\pack2\wedding-couple-22.svg", "XML", 0, 0, 0, 0, 348, 1, 5, 354
"d:\ahki\public\Emoji\pack2\wedding-couple-23.svg", "XML", 0, 0, 0, 0, 319, 1, 12, 332
"d:\ahki\public\Emoji\pack2\wedding-couple-3.svg", "XML", 0, 0, 0, 0, 192, 1, 12, 205
"d:\ahki\public\Emoji\pack2\wedding-couple-4.svg", "XML", 0, 0, 0, 0, 120, 1, 14, 135
